alpha_metric,ux_metric,n,pearson_r,pearson_p,spearman_r,spearman_p
total_changes,avg_playability,20,0.2721049848414409,0.24580500928774252,0.17726603266715504,0.4546625677748747
total_changes,max_playability,20,0.1746483474256497,0.461457640670795,0.1509974582839108,0.5251283089451988
total_changes,combined_playability,20,0.2875348372791846,0.21897361498224632,0.23280431758004058,0.32327281562809707
total_changes,avg_novelty,20,0.1955367892610081,0.4087016036351272,0.23508671285043314,0.318415646335133
total_changes,total_data_count,20,0.2825872133861749,0.22735832129152056,0.263931728001501,0.2608347078243578
bold_pct,avg_playability,20,-0.17232538962775312,0.46753076096099616,-0.16275926572886054,0.49296071985746714
bold_pct,max_playability,20,-0.21391061244162396,0.36515528129764907,-0.12932697409900748,0.5868420309950781
bold_pct,combined_playability,20,-0.12618106103230092,0.5960490471278974,-0.03936503171116626,0.8691223015493112
bold_pct,avg_novelty,20,-0.23749733466550937,0.3133333092837762,-0.38986521790866596,0.08926899799510427
bold_pct,total_data_count,20,-0.12556541620515446,0.5978578406227435,-0.017077947671339418,0.9430300918711096
cautious_pct,avg_playability,20,0.05832025442007435,0.8070529352584783,-0.04405852617288731,0.853670204997374
cautious_pct,max_playability,20,0.16014298116798464,0.5000314750691259,0.1019098518787915,0.6689969566094279
cautious_pct,combined_playability,20,0.023495930084608027,0.9216748743914772,0.022788892848045163,0.9240252020820977
cautious_pct,avg_novelty,20,0.1280245200785109,0.590646565452126,0.12078113209463938,0.6119911393551685
cautious_pct,total_data_count,20,0.02530299138954318,0.9156707391109674,0.002665728495325418,0.9911007128054945
standard_pct,avg_playability,20,0.1890335619574626,0.4247627364843847,0.19877191550617837,0.40083667019247393
standard_pct,max_playability,20,0.1170967015491412,0.6229663763489381,0.13262788703252879,0.5772467182623275
standard_pct,combined_playability,20,0.16414699011959194,0.48923024792930947,0.16336315322977416,0.4913356439243758
standard_pct,avg_novelty,20,0.19669205973229414,0.40588343651407754,0.30902192532134615,0.1849296294630603
standard_pct,total_data_count,20,0.16077167822753663,0.4983278873712903,0.18114248169137434,0.44469538833032796
avg_slider_value,avg_playability,20,-0.1269620431656516,0.5937577711387796,0.024962635586096755,0.9168012776338417
avg_slider_value,max_playability,20,-0.20082421775823123,0.3958907129053473,-0.08513878586826583,0.72117803250649
avg_slider_value,combined_playability,20,-0.08350343300374104,0.7263346774823931,-0.039335062135667606,0.8692211213960171
avg_slider_value,avg_novelty,20,-0.19844874599742468,0.40161857152203684,-0.27837120896010925,0.2346659540516666
avg_slider_value,total_data_count,20,-0.08404261739640186,0.7246332397386192,-0.024649366164196253,0.9178419809897469
style_variability,avg_playability,15,-0.09636974173654814,0.73261057509509,-0.25829856120030303,0.35262551460559444
style_variability,max_playability,15,0.0042723823482583535,0.987943432594094,0.01623084519187161,0.9542174997701334
style_variability,combined_playability,15,0.012607541733403468,0.9644309745855582,0.14888042069184132,0.5964206546599726
style_variability,avg_novelty,15,-0.1508941028764445,0.5914055130594342,-0.18296148085021466,0.5139643631587456
style_variability,total_data_count,15,0.01125526136922542,0.9682442169901908,0.17430431692337378,0.5344038575674542
